what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1397744365047
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1397744365048
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1397744365048
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1397744365048
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1397744365049
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1397744365049
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1397744365049
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1397744365050
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1397744365051
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1397744365051
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1397744365051
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1397744365052
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1397744365052
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1397744365052
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1397744365052
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1397744365053
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1397744365053
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1397744365053
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1397744365054
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397744365054
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1397744365055
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397744365055
os,sysinfo,,,"macosx",1397744365057
arch,sysinfo,,,"x86",1397744365057
ws,sysinfo,,,"cocoa",1397744365057
locale,sysinfo,,,"fr_FR",1397744365057
processors,sysinfo,,,"4",1397744365057
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397744365057
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1397744365057
java.specification.name,sysinfo,,,"Java Platform API Specification",1397744365057
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397744365057
java.specification.version,sysinfo,,,"1.6",1397744365057
java.vendor,sysinfo,,,"Apple Inc.",1397744365057
java.version,sysinfo,,,"1.6.0_65",1397744365057
java.vm.info,sysinfo,,,"mixed mode",1397744365057
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397744365057
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397744365057
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397744365057
java.vm.specification.version,sysinfo,,,"1.0",1397744365057
java.vm.vendor,sysinfo,,,"Apple Inc.",1397744365057
java.vm.version,sysinfo,,,"20.65-b04-462",1397744365057
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397744365335
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1397744366067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744366464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744367783
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744367796
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397744368613
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744371689
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1397744373766
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1397744373836
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1397744373914
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1397744373937
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1397744382245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744386454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744452015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744454826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744460465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744461276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744463784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744464084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744467036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744468241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744480572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397744486859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744487167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744499361
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744502413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397744504969
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1397744506525
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1397744508400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397744510340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744510824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744655359
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744655984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744675834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744676579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744677576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744683389
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397744688310
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744688573
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744688617
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397744688822
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744689105
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1397744735626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744756555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744758606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744784261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744820438
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397744840840
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744843085
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1397744868464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744960411
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397744997875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397744997960
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397744999524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397745001635
