what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566051778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566137698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396566138796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566149498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566192597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396566213976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566216841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566221942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566222558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566222845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566223267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566226219
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1396566259726
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1396566259877
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1396566260784
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1396566261017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566264370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566896880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566898001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566900006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396566916015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396566927526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396566929521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566951348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396566988159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396567007275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396567098053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396567144464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396568113128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396568128643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569563720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569565226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569566215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569570116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569615818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569616422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569697572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396569698641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396570499090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396570505834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396570506396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396571188599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396571215960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396571216369
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1396571216628
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1396571217215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396571224991
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1396571225459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396571235773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396571310318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396571313688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396571393326
