what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623261444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623263554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623343916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396623366511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623367401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623376472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623381512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623383623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396623393461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396623393970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396623399818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623400382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623432755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396623435389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623436092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623440004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396623449313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623450384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623701154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623710539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623711244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623712716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623738789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623786908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396623984322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396624061677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396624112645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396624132041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626397385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626401064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626402597
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1396626415496
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1396626415569
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1396626415639
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1396626415659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626420834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626446880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626449152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626518711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626558266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626643634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626644599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396626645693
