what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397136827209
os,sysinfo,,,"macosx",1397136827211
arch,sysinfo,,,"x86",1397136827211
ws,sysinfo,,,"cocoa",1397136827211
locale,sysinfo,,,"fr_FR",1397136827211
processors,sysinfo,,,"4",1397136827211
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397136827211
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1397136827211
java.specification.name,sysinfo,,,"Java Platform API Specification",1397136827211
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397136827211
java.specification.version,sysinfo,,,"1.6",1397136827211
java.vendor,sysinfo,,,"Apple Inc.",1397136827211
java.version,sysinfo,,,"1.6.0_65",1397136827211
java.vm.info,sysinfo,,,"mixed mode",1397136827211
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397136827211
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397136827211
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397136827211
java.vm.specification.version,sysinfo,,,"1.0",1397136827211
java.vm.vendor,sysinfo,,,"Apple Inc.",1397136827211
java.vm.version,sysinfo,,,"20.65-b04-462",1397136827211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397136959880
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397136959888
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1397136960289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397136960401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397136972834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397136973135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397138554424
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397138556192
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397138559427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397138563475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397138582926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397138584280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397138682530
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397139497456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397139859811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397139863229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397139863973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397139866608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397139870389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140005665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140014065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140015310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140016635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140226234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140628169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140628732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140629552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140630221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140630867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140675611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140803240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397140804170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141012052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141013538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141045384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141046345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141518636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141520289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141523513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397141524408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142108568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142260879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142471718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142475348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142485852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142486275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142494912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142529788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142530471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142530747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142664814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142669298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142694615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142695174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142706842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142707119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142800769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142801446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142871783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142872169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142884618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142885090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142890872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142891264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142990230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397142990482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143082529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143082809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143117631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143118295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143228560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143229174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143229477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143238715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143240037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143240325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143241470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143242186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143269260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143269977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143271405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143273144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143276063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143281863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143283105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143283406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143364195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143364463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143402887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143403439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143404235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143404483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143404792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143405081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143424916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143425335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143426990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143427521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143427837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143428093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143428397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143428668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143432037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143436854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143559415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143560902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397143568796
